,AFG,ALB,ALG,AND,ANG,AAB,ARG,ARM,AUL,AUS,AZE,BHM,BAH,BNG,BAR,BLR,BEL,BLZ,BEN,BHU,BOL,BOS,BOT,BRA,BRU,BUL,BFO,MYA,BUI,CAP,CAM,CAO,CAN,CEN,CHA,CHL,CHN,COL,COM,DRC,CON,COS,CDI,CRO,CUB,CYP,CZE,DEN,DJI,DMA,DOM,ECU,EGY,SAL,EQG,ERI,EST,SWA,ETH,FIJ,FIN,FRN,GAB,GAM,GRG,GER,GHA,GRC,GRN,GUA,GUI,GNB,GUY,HAI,HON,HUN,ICE,IND,INS,IRN,IRQ,IRE,ISR,ITA,JAM,JPN,JOR,KZK,KEN,KIR,PRK,KOR,KOS,KUW,KYR,LAO,LAT,LEB,LES,LBR,LIB,LIE,LIT,LUX,MAG,MAW,MAL,MAD,MLI,MLT,MSI,MAA,MAS,MEX,FSM,MLD,MNC,MON,MNG,MOR,MZM,NAM,NAU,NEP,NTH,NEW,NIC,NIR,NIG,MAC,NOR,OMA,PAK,PAL,PAN,PNG,PAR,PER,PHI,POL,POR,QAT,ROM,RUS,RWA,SKN,SLU,SVG,WSM,SNM,STP,SAU,SEN,SER,SEY,SIE,SIN,SLO,SLV,SOL,SOM,SAF,SSD,SPN,SRI,SUD,SUR,SWD,SWZ,SYR,TAW,TAJ,TAZ,THI,ETM,TOG,TON,TRI,TUN,TUR,TKM,TUV,UGA,UKR,UAE,UKG,USA,URU,UZB,VAN,VEN,DRV,YEM,ZAM,ZIM
GRG,36,43,37,22,34,30,37,42,37,46,45,33,33,36,31,37,43,31,37,28,36,44,34,38,28,42,36,32,32,36,33,34,41,32,33,37,35,37,31,36,35,38,36,45,29,41,43,41,32,31,38,38,38,37,30,29,40,32,33,34,42,44,35,33,50,44,37,44,27,37,34,33,31,36,37,43,39,37,37,33,31,42,40,44,33,43,39,40,33,23,20,40,7,34,38,31,39,34,32,33,33,21,40,42,37,35,34,31,35,42,21,35,38,39,21,45,27,39,42,40,36,36,15,36,43,37,35,35,37,43,42,30,37,20,37,34,38,37,38,42,44,36,44,43,33,26,32,27,30,28,33,34,38,44,35,33,32,41,40,23,26,36,20,43,38,33,32,42,44,32,4,39,36,39,30,34,27,35,42,44,32,20,34,44,33,41,40,37,36,30,36,35,35,33,33
GER,38,45,42,21,34,32,54,40,57,68,43,36,36,45,34,41,72,35,43,28,41,45,35,56,30,55,40,34,32,35,37,39,68,33,35,46,57,46,32,40,37,43,40,60,33,51,61,71,35,31,43,45,47,43,29,32,57,34,39,37,74,82,37,37,44,88,46,66,28,45,39,33,34,38,43,62,52,56,46,38,34,63,49,83,36,72,46,43,43,23,22,65,6,40,40,31,54,37,34,37,37,23,52,61,40,38,42,31,39,52,23,38,40,58,21,43,29,44,46,46,39,40,15,43,77,52,39,37,48,47,69,32,46,22,42,37,43,48,43,64,69,41,59,58,38,27,32,28,30,29,34,41,45,50,36,40,40,58,58,24,30,51,21,74,43,38,36,73,67,34,5,38,43,44,30,40,29,41,44,65,32,20,39,50,39,80,73,41,36,30,43,36,41,39,38
GHA,39,38,43,20,39,36,44,37,39,42,38,38,37,49,37,35,42,34,51,30,44,42,40,50,32,39,47,34,39,40,40,44,43,38,41,41,49,43,37,45,43,42,48,43,34,43,40,42,41,35,42,45,49,43,34,35,37,38,44,39,44,48,42,45,37,46,60,41,30,46,47,40,35,39,40,42,35,50,45,40,36,40,37,43,38,42,47,38,49,24,24,46,7,38,39,33,36,40,39,44,39,17,35,37,44,45,44,33,47,38,23,41,43,41,22,39,25,44,38,44,44,46,17,47,42,39,37,46,58,38,42,34,48,22,40,39,44,48,44,43,41,40,44,44,44,29,36,32,32,26,37,39,52,43,41,48,36,36,36,27,33,48,22,42,46,40,34,44,44,36,3,38,50,43,32,48,30,42,46,39,31,21,46,42,37,43,40,42,33,35,41,38,47,47,46
GRC,37,46,41,22,34,32,48,41,50,65,43,34,37,41,33,41,65,32,40,27,38,45,35,47,29,57,38,32,32,35,35,38,56,32,33,44,43,43,32,40,37,42,38,59,33,53,62,61,35,32,41,41,43,39,29,31,56,33,37,36,63,67,36,34,44,66,41,68,27,41,36,33,33,38,38,63,50,47,41,38,34,59,46,66,35,57,43,40,38,22,23,53,7,38,37,32,54,38,34,35,36,23,51,59,40,36,39,30,37,52,21,36,41,51,20,43,30,39,46,43,39,36,14,37,64,48,37,36,43,48,59,33,41,20,40,35,38,43,43,62,64,40,59,53,35,26,33,28,29,29,33,39,41,51,35,36,37,59,58,23,29,47,21,64,41,37,34,62,58,34,3,37,40,44,28,37,28,37,45,60,32,19,38,49,37,60,55,40,35,31,41,37,38,35,35
GRN,27,27,28,15,28,36,32,25,24,27,27,35,26,27,36,24,27,35,30,22,31,29,28,32,22,26,28,26,28,30,26,28,27,28,28,32,28,34,30,29,29,32,29,28,28,28,26,27,29,37,36,32,26,32,28,26,26,28,28,29,27,27,29,29,27,28,30,27,44,33,29,29,36,36,33,27,26,28,27,26,26,27,26,28,35,27,28,26,27,23,17,27,6,27,24,25,25,27,27,29,26,14,26,27,29,29,27,27,28,27,21,28,30,33,19,26,17,28,26,28,28,29,16,27,27,26,32,28,30,27,27,24,28,19,32,28,32,32,29,26,27,27,27,26,27,35,37,35,29,21,29,27,29,27,29,29,27,25,25,24,25,29,17,27,28,27,37,27,27,26,3,26,29,28,27,28,26,36,29,26,24,20,28,26,26,27,25,31,25,28,35,26,28,28,28
GUA,38,39,42,20,37,36,52,36,41,41,38,40,38,45,38,35,43,40,44,30,51,40,37,57,30,38,43,35,34,37,38,40,44,34,36,51,48,52,32,42,39,51,42,42,40,42,39,41,34,36,52,54,44,56,30,33,37,35,40,39,43,47,37,38,37,45,46,41,33,62,41,34,40,45,53,40,37,49,44,40,36,41,38,46,43,46,45,37,40,22,24,48,6,39,38,33,36,38,35,38,37,19,36,37,41,41,41,32,41,39,21,38,41,51,21,38,26,42,37,44,40,40,15,44,43,41,48,40,50,38,43,34,44,19,50,39,52,57,46,42,44,41,45,44,37,30,37,33,30,28,36,39,44,42,37,40,36,36,38,25,29,45,21,48,47,37,41,43,45,37,5,38,44,42,32,39,28,46,43,41,30,19,40,43,36,43,43,53,33,31,49,37,42,41,40
GUI,39,37,39,19,36,32,39,33,35,38,37,33,36,44,35,31,37,30,47,30,39,39,37,43,28,34,44,33,37,37,37,42,38,37,41,37,41,38,37,41,41,38,45,37,30,37,36,37,41,32,39,40,44,39,32,32,34,35,40,37,37,42,40,43,34,39,47,36,29,41,49,40,34,36,38,37,31,42,41,37,36,36,33,38,34,38,44,37,40,23,23,39,7,37,37,32,32,37,36,39,37,15,32,34,41,42,39,33,45,33,21,40,39,36,22,36,21,40,34,41,41,41,16,41,38,35,35,44,48,34,38,33,43,19,36,37,40,42,38,38,37,37,39,40,40,27,34,30,31,24,36,37,47,37,37,42,32,32,32,26,34,41,21,37,39,39,35,39,40,35,3,38,43,39,32,45,28,37,43,36,33,20,42,37,36,37,35,39,33,32,36,35,44,42,40
GNB,35,34,37,18,37,31,35,32,30,34,35,33,35,37,33,30,32,31,45,28,33,36,36,36,27,31,44,31,35,40,34,41,32,37,40,34,34,34,39,38,39,35,45,33,30,34,32,32,39,31,38,34,38,34,35,32,31,35,37,34,33,36,40,41,33,33,40,33,29,34,40,47,33,37,34,33,29,35,36,35,34,30,31,33,34,34,37,34,36,24,22,32,7,36,33,31,29,35,34,37,37,14,30,31,38,37,35,33,43,31,21,39,40,33,23,31,21,33,31,38,40,37,16,35,33,31,33,44,41,31,33,32,37,20,34,35,33,34,34,32,35,35,33,33,37,27,33,29,31,23,38,36,46,32,36,40,30,31,29,26,34,37,22,32,34,38,34,33,34,34,3,34,37,36,32,45,29,35,39,35,31,21,38,32,35,31,30,34,31,33,34,34,37,35,37
GUY,32,34,33,16,32,39,41,30,31,34,33,41,32,35,41,29,33,42,37,26,40,34,34,41,27,32,35,29,31,33,32,35,35,31,31,41,34,43,33,34,33,39,34,34,34,35,32,33,33,39,43,40,34,39,28,30,31,33,33,35,34,33,33,34,31,34,35,33,36,40,34,33,48,42,40,33,31,35,33,33,32,32,31,34,42,34,35,32,33,24,20,33,5,33,31,30,30,33,34,33,33,15,31,32,35,35,33,32,34,33,22,32,36,41,21,30,19,32,30,34,35,34,18,32,33,33,38,34,38,32,33,29,35,19,40,35,40,41,35,32,34,34,33,33,32,35,41,38,31,21,33,34,36,32,35,35,31,31,32,27,29,36,20,33,35,34,44,34,33,31,2,32,35,35,30,34,28,42,35,33,30,22,35,32,31,34,31,40,30,32,42,32,34,33,33
HAI,35,37,37,20,37,38,44,35,34,39,37,43,36,38,40,33,37,43,40,28,43,38,36,44,28,36,39,32,33,39,35,38,38,34,35,44,38,46,34,39,37,45,39,39,39,39,37,36,35,39,49,44,38,45,32,33,35,35,37,36,37,39,36,35,36,38,39,38,36,45,36,37,42,50,44,38,34,39,37,36,34,35,36,39,44,38,38,35,36,24,22,37,7,37,34,33,34,37,34,35,36,18,35,36,40,37,36,32,37,37,22,37,41,45,23,35,26,36,35,39,39,36,16,37,37,35,43,37,40,36,37,32,38,21,44,37,43,44,40,37,39,38,39,37,36,33,40,35,31,26,38,37,40,37,37,35,33,36,35,26,30,39,21,38,39,37,42,37,38,34,3,34,38,40,32,38,29,44,39,37,29,21,37,37,35,36,34,44,31,34,47,37,37,35,37
HON,37,38,37,19,37,35,51,34,38,40,37,39,36,39,38,33,39,39,41,29,47,38,37,50,28,36,39,34,33,37,35,39,40,34,35,49,42,49,32,39,38,50,40,41,39,39,38,38,35,36,50,50,38,53,30,33,35,35,38,36,41,44,37,37,37,43,40,38,33,53,38,34,40,44,56,39,35,42,42,36,36,37,37,44,40,44,41,38,36,22,23,44,6,37,35,33,34,36,35,36,37,19,36,37,40,40,38,31,38,38,22,37,39,49,21,35,24,39,36,41,38,38,15,40,41,38,48,38,42,36,39,32,41,19,49,37,50,50,42,38,42,39,40,39,35,30,37,33,30,27,36,37,41,37,36,37,34,35,35,25,30,39,21,44,42,37,40,39,41,34,5,36,39,39,32,39,27,43,40,38,30,19,37,38,35,40,39,48,33,31,47,36,40,37,37
HUN,37,46,40,22,34,32,48,40,48,65,42,34,36,41,33,41,62,32,40,27,38,46,35,47,29,56,38,31,32,35,35,37,54,32,33,44,43,42,32,39,37,42,38,59,32,51,62,59,35,32,40,40,42,40,29,31,54,33,36,35,61,63,36,34,43,62,42,63,27,40,37,33,33,38,39,67,48,46,41,37,34,56,45,63,34,54,43,41,37,22,22,52,7,37,37,32,52,38,34,35,36,23,51,57,40,37,39,30,37,51,21,35,40,49,20,43,29,40,46,42,38,36,14,38,60,46,37,36,43,49,56,32,42,20,40,34,40,42,42,61,61,39,59,51,35,26,33,28,29,29,33,38,41,52,35,35,35,59,57,23,28,45,20,61,41,36,33,59,56,33,3,37,40,43,28,38,27,36,43,57,32,19,37,49,36,58,51,39,35,31,40,37,39,35,35
ICE,33,40,38,20,31,31,42,35,44,47,38,32,34,36,30,36,50,31,35,25,35,41,32,42,27,44,34,30,29,32,30,34,50,29,30,40,39,39,30,35,32,37,33,47,30,43,47,54,29,29,37,37,37,35,26,28,49,31,32,33,54,51,33,31,39,52,35,50,26,37,31,29,31,34,35,48,55,41,37,34,31,47,40,52,32,48,39,36,33,22,20,47,6,35,34,28,47,33,30,32,33,24,46,48,35,33,35,28,32,45,21,33,37,46,20,37,27,37,41,39,35,33,14,33,52,43,34,32,38,41,55,30,36,20,37,32,36,39,39,50,50,36,47,47,31,25,30,26,28,28,30,36,36,43,32,32,37,46,45,22,25,41,20,52,37,32,33,53,49,31,3,34,35,39,26,32,27,35,39,49,28,18,33,42,34,51,49,36,32,27,37,33,34,32,32
IND,43,37,48,18,37,34,52,37,54,48,41,37,41,56,35,37,49,35,46,35,44,41,38,61,37,42,42,41,35,36,43,43,54,33,35,47,64,46,34,42,39,43,42,45,37,44,45,48,37,33,42,46,51,46,31,36,40,37,41,43,52,57,39,39,37,56,50,47,28,49,42,35,35,39,42,46,41,80,56,47,38,48,43,53,40,62,47,41,46,25,26,62,6,42,40,38,39,41,37,38,41,18,39,43,41,44,54,36,41,40,24,40,43,52,23,37,26,47,39,47,42,43,17,52,52,52,39,39,54,39,50,36,58,22,42,44,46,50,53,49,49,44,46,58,40,27,34,30,32,25,35,45,47,44,37,41,46,41,40,27,33,55,21,52,58,41,35,51,50,38,4,39,46,53,33,41,32,41,46,53,32,22,43,46,42,55,60,44,36,35,46,44,45,42,43
INS,42,38,44,18,35,32,46,36,47,41,41,35,41,53,32,35,42,32,44,32,43,41,36,51,38,38,43,40,34,35,42,43,47,34,36,45,53,42,34,39,37,39,42,43,35,40,40,41,36,31,39,44,47,43,29,33,36,34,37,39,44,49,39,41,37,46,45,41,27,44,41,36,33,37,42,41,37,56,67,45,39,41,38,45,37,51,48,42,42,24,26,55,6,41,42,37,35,38,34,38,40,16,36,38,39,41,58,35,42,36,24,41,40,45,23,35,25,47,36,43,42,40,16,48,42,46,36,41,51,36,41,37,53,23,39,44,44,47,51,42,41,44,41,50,36,25,32,28,31,25,34,43,47,41,36,42,41,37,36,27,32,46,21,43,51,39,35,42,41,38,5,41,44,51,34,42,31,38,44,48,33,21,39,42,41,43,50,41,37,33,41,44,46,39,40
IRN,43,36,44,18,35,31,42,34,38,36,40,35,41,47,32,35,36,32,40,31,38,37,34,43,32,36,40,35,32,33,37,40,36,32,34,41,44,41,33,40,37,39,40,38,34,39,36,36,35,29,38,41,46,37,29,32,34,34,38,36,37,38,38,37,33,38,40,38,26,40,37,35,33,36,36,37,34,47,45,53,40,35,37,37,38,41,43,40,38,21,25,41,5,41,41,34,34,41,34,35,41,15,32,34,38,35,45,35,38,35,21,38,40,41,21,33,24,40,36,41,40,36,14,39,37,38,36,36,48,34,38,37,50,21,38,37,36,42,43,37,38,42,38,41,36,25,30,28,28,24,32,43,43,37,34,38,36,34,34,24,32,43,21,37,45,40,34,37,37,39,2,40,39,44,29,40,28,37,41,44,34,19,39,37,41,35,38,38,37,30,42,40,40,36,38
IRQ,37,35,43,17,34,29,36,32,33,33,36,33,44,39,31,32,33,30,37,28,35,35,33,37,30,32,37,32,31,32,35,39,33,32,34,36,36,37,35,36,35,36,37,34,31,35,33,33,37,29,35,36,44,35,29,32,30,33,36,33,34,35,36,35,31,34,36,34,26,36,36,34,32,34,36,34,31,38,39,40,47,31,34,34,33,36,44,37,34,22,24,34,5,45,37,33,30,43,32,34,45,15,30,31,36,34,39,31,36,33,20,41,36,35,20,30,22,36,32,42,37,33,13,34,34,33,34,36,40,31,34,40,39,20,36,35,34,37,37,33,34,46,34,36,33,25,30,27,28,22,32,45,39,33,33,36,32,32,30,25,34,36,20,34,38,42,32,34,34,42,2,37,36,38,29,38,27,34,42,37,31,19,36,34,45,32,32,35,34,29,37,37,42,34,35
IRE,36,40,40,20,32,30,48,39,51,63,42,32,34,42,32,38,64,32,39,28,38,43,33,49,28,49,36,32,30,33,33,35,57,30,32,42,46,40,30,37,34,38,36,53,30,49,54,61,33,30,38,40,42,39,27,29,54,32,35,36,63,65,33,33,42,63,40,59,27,41,36,30,32,35,37,56,47,48,41,35,31,68,42,64,33,55,42,41,37,23,20,55,6,37,37,30,49,35,32,32,33,22,47,58,37,37,39,30,35,49,21,34,37,49,21,41,26,40,42,43,36,36,15,41,63,49,36,35,43,45,58,30,40,20,37,34,40,42,42,56,59,37,54,54,33,26,31,27,30,27,31,37,39,50,33,34,37,51,54,23,28,46,21,62,41,35,34,64,59,33,4,37,38,42,28,36,28,37,42,56,32,20,37,46,35,60,55,39,35,28,38,34,38,36,34
ISR,36,40,39,20,33,30,41,37,41,47,41,35,36,38,32,36,47,32,36,27,36,41,32,42,28,43,34,31,31,32,33,35,44,30,31,42,41,41,30,36,34,40,35,45,31,41,45,45,31,28,38,39,40,38,28,30,40,33,35,33,46,49,34,32,40,49,37,46,26,38,33,31,31,36,37,45,40,43,38,37,34,42,50,49,34,49,40,37,35,22,21,46,6,36,36,30,39,36,31,33,35,20,39,41,36,33,37,29,33,40,20,34,36,45,20,39,26,38,41,42,35,34,13,34,48,41,37,32,38,41,46,31,40,20,39,32,38,41,40,44,48,37,44,46,34,25,29,26,28,27,31,37,37,43,32,32,35,43,41,22,27,40,20,48,38,35,32,45,47,32,3,35,36,41,27,35,27,37,40,49,30,19,35,41,36,46,47,37,33,29,38,36,36,34,34
ITA,38,46,42,22,35,32,56,40,58,70,43,36,36,43,34,42,73,35,40,29,40,46,35,55,30,56,39,34,32,36,35,38,69,33,35,50,56,48,32,40,37,45,40,62,35,51,61,71,35,31,45,45,45,44,29,31,58,34,38,37,74,83,36,35,44,83,43,66,28,46,38,33,34,39,44,63,52,53,45,37,34,64,49,89,36,71,44,42,40,24,22,65,6,40,38,31,54,37,34,37,36,23,51,60,40,37,41,31,37,53,23,37,40,58,22,44,30,42,46,46,40,37,16,40,76,53,41,37,46,48,69,32,43,22,44,37,43,48,46,63,71,40,61,59,36,27,32,28,31,31,35,41,42,52,36,38,40,60,60,25,29,49,21,77,42,37,36,73,69,34,5,38,41,45,32,39,30,41,44,66,32,21,38,50,38,77,72,44,35,31,44,36,40,37,35
JAM,34,33,38,17,35,39,42,34,33,35,35,45,35,37,41,31,34,42,36,28,40,35,35,43,30,33,36,32,31,34,33,37,36,32,32,42,38,43,32,37,36,40,36,36,38,37,33,34,32,38,45,41,37,41,30,32,32,35,35,37,35,36,34,34,33,36,38,35,35,43,34,34,42,44,40,34,32,40,37,38,33,33,34,36,49,36,35,35,35,24,23,35,5,35,33,31,31,35,34,35,35,14,31,32,36,36,37,32,34,34,22,36,38,43,22,31,23,34,33,36,37,35,17,35,35,34,39,34,41,32,36,33,38,20,40,38,39,41,37,34,36,36,35,35,34,34,39,37,30,23,32,37,37,34,36,36,33,32,33,27,29,39,20,35,39,36,40,35,35,35,2,34,37,37,30,35,29,45,37,35,30,22,36,34,34,35,34,41,32,33,44,35,35,34,36
JPN,42,43,42,21,36,32,55,38,66,59,43,35,38,46,34,38,63,34,42,30,42,43,36,57,34,50,39,39,33,36,39,40,70,33,34,49,60,47,32,41,38,45,40,51,36,47,54,62,35,31,44,46,45,43,30,33,47,34,40,40,63,71,37,36,43,72,42,57,27,46,38,34,34,38,44,54,48,62,51,41,36,55,49,71,36,84,45,43,39,24,24,71,6,41,40,36,45,38,35,37,38,22,45,53,41,38,47,33,39,45,24,38,43,60,22,41,28,45,44,46,41,40,16,41,67,59,40,37,45,43,63,33,49,22,44,43,43,50,51,56,63,41,53,61,36,26,32,28,31,29,35,43,45,46,36,37,45,50,49,26,31,51,21,66,46,39,35,64,64,35,6,39,42,51,34,38,30,41,44,63,32,21,39,50,40,71,77,43,37,32,44,43,39,38,37
JOR,42,42,48,20,35,33,43,36,42,41,43,35,46,51,34,37,43,33,49,30,46,44,37,50,31,42,45,33,35,36,40,41,45,34,38,43,46,42,38,40,38,42,43,45,33,43,43,45,41,32,41,48,56,44,29,34,40,35,39,38,45,48,39,43,39,46,47,43,28,45,44,37,35,38,41,43,39,47,48,43,44,42,40,44,35,45,63,40,44,23,24,48,6,47,44,33,39,46,36,39,45,20,38,41,41,41,45,34,44,41,22,43,41,42,21,41,25,46,40,52,41,43,15,46,45,41,38,43,51,40,45,41,49,21,41,37,46,48,46,46,44,46,47,48,40,26,33,29,30,27,34,46,50,44,36,41,36,39,38,24,36,45,21,44,47,45,36,45,45,43,3,42,45,46,30,44,28,37,53,46,35,19,43,45,45,44,45,43,38,31,42,39,51,43,42
KZK,42,40,38,19,34,30,40,44,38,43,47,34,37,40,31,43,40,31,38,29,38,40,33,39,30,38,37,33,31,32,35,38,40,32,34,36,43,37,31,36,35,36,40,41,33,39,40,40,34,29,36,36,41,37,29,31,36,32,35,33,43,45,36,36,40,43,38,40,26,37,37,34,32,35,38,41,36,41,42,40,37,41,37,42,35,43,40,56,32,22,22,42,5,37,49,32,35,37,32,34,38,17,37,40,36,36,40,33,36,39,21,38,35,39,21,39,24,41,38,39,37,34,14,38,43,36,34,36,40,37,41,34,44,20,36,36,37,38,38,41,41,40,40,50,32,25,30,28,28,25,31,38,39,39,34,36,31,38,37,25,31,37,20,41,40,38,32,43,42,36,3,48,36,40,30,38,26,36,40,46,38,20,36,44,37,41,41,36,45,30,36,37,39,33,34
KEN,34,33,41,16,36,31,40,32,36,38,35,35,35,46,33,33,39,33,46,29,40,38,38,45,30,35,42,32,38,37,38,41,39,34,36,39,44,38,35,40,38,38,40,39,31,39,36,40,38,31,38,41,45,39,31,34,34,39,43,37,40,41,38,40,33,43,49,38,27,40,40,36,33,36,36,37,33,46,42,38,34,37,35,40,35,39,44,32,57,23,22,42,6,37,36,31,33,35,37,38,38,16,32,34,41,42,42,30,42,36,22,37,41,38,22,35,22,40,34,41,40,44,16,43,40,37,37,40,51,35,40,31,43,22,37,37,40,42,39,38,38,37,39,40,46,26,32,28,30,23,36,36,47,39,38,43,34,33,33,25,32,45,23,38,43,40,33,41,41,32,3,33,48,39,30,42,29,35,40,37,29,20,46,38,35,41,39,37,29,31,38,35,42,45,46
KIR,22,22,23,12,22,25,22,21,26,23,23,24,22,24,25,20,23,24,23,18,21,22,23,22,21,21,22,23,22,24,22,24,25,22,22,22,23,22,24,23,23,22,23,22,20,23,21,23,23,24,24,22,21,22,21,22,22,24,23,29,23,25,23,23,23,23,24,22,23,22,23,24,24,24,22,22,22,25,24,21,22,23,22,24,24,24,23,22,23,30,15,24,5,23,21,21,21,22,22,23,22,10,21,23,23,24,25,23,22,23,22,24,24,22,22,22,15,23,21,23,24,24,18,23,23,27,22,22,24,22,23,20,24,22,22,28,22,22,24,21,23,22,22,22,23,23,25,22,29,19,24,22,23,21,24,24,24,21,20,27,22,24,15,24,25,23,24,23,23,22,3,21,24,24,24,23,28,25,23,24,21,25,23,21,22,25,25,21,21,28,22,22,22,23,23
PRK,22,20,24,13,23,20,25,21,22,21,22,22,24,26,21,20,21,18,23,19,23,23,22,25,21,21,22,23,20,21,23,25,22,19,20,25,25,25,20,24,23,24,23,23,25,24,21,21,21,19,24,24,25,23,20,20,19,21,23,22,22,23,23,23,20,22,24,23,17,24,23,22,20,22,23,22,20,26,26,25,24,20,21,22,23,24,24,22,22,15,26,23,0,25,21,22,19,24,21,22,24,10,18,19,23,23,26,19,22,21,12,23,25,24,14,19,20,24,21,24,24,22,11,23,22,23,22,22,25,19,22,23,26,12,24,25,22,25,26,22,23,24,23,24,21,16,20,19,18,15,20,25,24,22,21,23,22,20,19,16,21,25,12,22,26,23,21,22,21,24,1,22,24,26,20,23,20,23,25,23,20,14,22,22,24,20,20,24,20,20,24,25,24,21,23
KOR,40,39,42,20,34,31,56,37,62,56,41,35,37,51,33,38,57,34,45,31,46,41,35,59,35,47,39,38,34,35,41,38,63,32,34,50,65,45,32,39,36,44,38,53,35,46,50,58,34,30,43,50,47,47,29,32,46,34,37,40,61,65,37,39,40,65,46,53,27,48,39,32,33,37,44,52,47,62,55,41,34,55,46,65,35,71,48,42,42,24,23,79,6,39,41,35,44,36,34,36,37,21,44,51,39,40,51,33,39,44,24,37,41,57,22,41,27,47,42,47,38,43,16,47,60,58,40,37,49,42,58,32,50,23,43,41,48,52,54,55,58,41,52,62,38,26,31,27,31,28,33,41,45,47,35,38,45,46,48,24,29,51,20,63,49,37,35,58,59,33,6,38,43,53,32,40,30,39,44,58,31,21,39,50,39,61,68,46,36,31,43,42,42,41,40
KOS,6,7,6,1,6,6,6,6,6,7,6,5,6,6,6,6,7,5,7,5,5,7,6,6,3,7,7,5,7,7,6,7,7,7,7,6,5,6,7,7,7,7,7,7,0,7,7,6,7,7,7,6,6,6,6,6,7,6,6,6,6,7,7,6,7,6,7,7,6,6,7,7,5,7,6,7,6,6,6,5,5,6,6,6,5,6,6,5,6,5,0,6,7,6,5,6,7,6,5,6,5,1,7,7,7,6,6,5,7,6,4,7,7,6,5,7,1,6,7,7,7,6,0,6,6,6,6,7,6,7,6,5,6,5,6,5,6,6,6,7,6,6,7,6,7,5,7,4,6,4,7,5,7,7,6,6,6,7,6,5,4,6,5,6,6,5,6,6,7,5,1,5,6,7,5,7,5,6,7,6,5,3,6,7,6,6,6,6,5,7,6,6,6,6,6
KUW,37,37,48,18,36,31,42,33,38,38,38,34,47,42,32,34,39,32,40,28,38,38,36,44,31,36,40,33,32,35,34,42,39,34,36,40,39,40,37,39,37,39,40,38,33,39,36,39,39,31,39,40,48,38,31,35,34,35,37,35,40,42,39,37,34,40,38,38,27,39,37,36,33,37,37,37,35,42,41,41,45,37,36,40,35,41,47,37,37,23,25,39,6,55,36,33,34,45,34,36,48,17,33,35,39,37,41,32,38,36,20,44,41,40,20,33,25,37,35,48,41,36,13,37,41,38,36,38,44,34,40,43,41,20,39,36,37,41,40,38,40,48,38,41,35,25,32,27,29,24,34,50,42,37,35,38,35,35,33,24,35,42,20,40,41,44,35,41,39,45,3,36,39,41,28,39,29,37,47,42,31,19,39,37,49,39,38,38,34,30,41,37,43,35,37
KYR,42,39,36,19,32,28,35,43,37,39,45,32,37,43,29,42,37,30,40,30,39,38,33,38,29,36,40,32,32,31,38,37,38,32,34,35,41,36,30,36,34,35,37,38,31,37,36,39,32,27,35,39,42,37,27,30,34,32,36,35,40,40,34,37,38,40,39,37,24,38,37,33,31,34,35,37,34,40,42,41,37,37,36,38,33,40,44,49,36,21,21,41,5,36,54,33,33,36,32,34,37,17,34,36,36,34,41,32,39,37,19,36,35,36,21,40,22,42,36,38,36,36,14,39,39,36,33,37,42,36,39,33,44,20,35,36,37,39,38,38,38,38,39,48,36,23,28,26,27,24,31,37,41,38,33,37,31,35,34,24,29,37,20,38,40,37,31,40,40,35,3,49,38,40,29,39,25,34,38,43,37,19,37,43,36,37,38,36,44,28,34,37,39,38,38
LAO,34,32,31,18,31,27,33,33,34,33,32,30,32,36,29,31,31,29,34,29,33,32,32,33,31,31,34,35,31,31,38,34,33,30,31,33,36,33,28,34,33,34,33,32,28,33,31,30,31,29,34,33,33,33,28,30,29,31,33,33,31,33,32,31,31,31,33,32,25,33,32,31,30,33,33,32,28,38,37,34,33,30,30,31,31,36,33,32,31,21,22,35,6,33,33,39,29,34,32,31,33,14,30,31,34,32,38,30,33,30,19,32,34,32,20,30,20,34,30,33,32,31,14,34,31,35,32,33,33,31,31,30,37,19,33,36,32,33,38,31,32,33,32,34,33,24,30,26,28,21,31,34,34,31,32,32,34,31,30,24,26,33,20,31,36,33,29,31,32,32,3,33,32,39,30,34,26,31,33,32,29,19,32,32,33,29,32,34,31,29,32,39,32,32,33
LAT,33,41,38,22,30,30,42,35,43,51,38,31,34,36,29,37,53,30,36,24,34,41,31,40,27,51,34,30,30,32,31,34,47,29,30,39,37,39,29,36,33,38,34,52,29,48,52,53,31,29,37,37,38,34,26,28,55,30,32,32,54,54,33,30,39,54,36,54,25,36,32,29,30,34,34,52,47,39,35,34,30,49,39,54,31,45,39,35,33,21,19,44,7,34,33,29,57,34,31,32,32,22,52,51,36,32,34,28,33,49,20,33,37,44,19,39,28,36,43,40,35,33,13,32,54,41,34,32,38,44,51,29,36,20,36,31,35,39,39,54,53,36,53,45,32,24,30,25,27,29,31,35,37,46,33,32,35,51,52,21,24,40,19,54,36,32,32,53,48,30,3,33,35,40,26,33,26,33,40,48,30,17,33,45,34,51,45,36,31,29,37,33,34,32,31
